Trieda cesty;»Ìslo cesty;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - podrobn˝;MIESTOPISN› PRIEBEH NA ⁄ZEMÕ SLOVENSKEJ REPUBLIKY - obec/okres;DÂûka cesty / km;
diaænica;D1;"zaË. cesty D1, kriû. I/2 x I/61 x D1 x D2 x MK, hr. vl. BA  , NDS, hr. spr. MAG-BA, NDS - SSUD BA, Bratislava, okr. Bratislava V; kriû. I/2 x D1 x MK, Bratislava, okr. Bratislava V; Bratislava, hr. okr. Bratislava II, Bratislava V; kriû. I/61 x D1 x MK, Bratislava, okr. Bratislava II; kriû. I/63 x D1, Bratislava, okr. Bratislava II; kriû. D1 x MK, Bratislava, okr. Bratislava II; kriû. I/61 x D1 x MK, Bratislava, okr. Bratislava II; kriû. I/61 x D1 x MK, Bratislava, hr. okr. Bratislava II, Bratislava III; hr. okr. Senec, Bratislava III; kriû. II/503 x D1, okr. Senec; kriû. II/503 x D1, hr. spr. NDS - SSUD BA, NDS - SSUD TT, okr. Senec; kriû. II/503 x D1, okr. Senec; kriû. I/61 x D1, okr. Senec; hr. okr. Senec, Trnava; kriû. III/1286 x D1, okr. Trnava; kriû. D1 x R1, okr. Trnava; hr. okr. Hlohovec, Trnava; kriû. II/513 x D1, okr. Hlohovec; kriû. I/61 x D1, okr. Hlohovec; hr. okr. Hlohovec, Pieöùany; kriû. II/499 x D1, okr. Pieöùany; hr. okr. Pieöùany, NovÈ Mesto nad V·hom; kriû. I/61 x D1, okr. Pieöùany; kriû. I/61 x D1, hr. okr. Pieöùany, NovÈ Mesto nad V·hom; kriû. I/61 x D1, okr. NovÈ Mesto nad V·hom; kriû. I/61 x D1, hr. spr. NDS - SSUD TN, NDS - SSUD TT, okr. NovÈ Mesto nad V·hom; kriû. II/507 x D1, okr. NovÈ Mesto nad V·hom; kriû. II/515 x D1, okr. NovÈ Mesto nad V·hom; hr. okr. NovÈ Mesto nad V·hom, TrenËÌn; kriû. I/9 x D1, okr. TrenËÌn; kriû. D1 x PD5, okr. TrenËÌn; kriû. D1 x MK, okr. TrenËÌn; kriû. I/57 x D1, okr. TrenËÌn; kriû. I/57 x D1, hr. okr. Ilava, TrenËÌn; kriû. I/57 x D1, okr. Ilava; kriû. II/574A x D1, okr. Ilava; kriû. II/574A x D1, hr. spr. NDS - SSUD PB, NDS - SSUD TN, okr. Ilava; kriû. I/61 x D1, okr. Ilava; hr. okr. Ilava, P˙chov; kriû. I/49 x I/61 x D1 x R6, okr. P˙chov; hr. okr. Povaûsk· Bystrica, P˙chov; kriû. I/61 x D1, okr. Povaûsk· Bystrica; kriû. II/517 x D1, okr. Povaûsk· Bystrica; kriû. I/61 x D1, okr. Povaûsk· Bystrica; hr. okr. Povaûsk· Bystrica, BytËa; kriû. II/507 x D1, okr. BytËa; hr. okr. BytËa, éilina; okr. éilina; kriû. D1 x R3, okr. Martin; kriû. I/18 x D1, okr. Martin; okr. Ruûomberok; kriû. I/18 x D1, okr. Ruûomberok; hr. okr. Liptovsk˝ Mikul·ö, Ruûomberok; kriû. II/584 x D1, okr. Liptovsk˝ Mikul·ö; kriû. III/2340 x D1, okr. Liptovsk˝ Mikul·ö; kriû. II/537 x D1, okr. Liptovsk˝ Mikul·ö; kriû. I/18 x D1, okr. Liptovsk˝ Mikul·ö; hr. spr. NDS - SSUD LM, NDS - SSUD MENG, okr. Liptovsk˝ Mikul·ö; hr. okr. Liptovsk˝ Mikul·ö, Poprad; kriû. III/3060 x D1, okr. Poprad; kriû. I/18 x D1, okr. Poprad; kriû. III/3082 x D1, okr. Poprad; kriû. II/534 x D1, okr. Poprad; kriû. I/66 x D1, okr. Poprad; hr. okr. Keûmarok, Poprad; hr. okr. LevoËa, Poprad; kriû. I/18 x D1, okr. Poprad; kriû. I/18 x D1, hr. okr. LevoËa, Poprad; kriû. I/18 x D1, okr. LevoËa; hr. okr. LevoËa, Spiösk· Nov· Ves; kriû. I/18 x D1, okr. LevoËa; kriû. I/18 x D1, hr. spr. NDS - SSUD BE, NDS - SSUD MENG, okr. LevoËa; kriû. I/18 x D1, okr. LevoËa; kriû. D1 x MK, okr. LevoËa; kriû. I/18 x D1, okr. LevoËa; hr. okr. LevoËa, Preöov; okr. Preöov; kriû. I/18 x D1, okr. Preöov; kriû. I/18 x D1, hr. spr. NDS - SSUD BE, NDS - SSUD PO, okr. Preöov; kriû. I/18 x D1, okr. Preöov; kriû. I/18 x II/546 x D1 x MK, Preöov, okr. Preöov; kriû. III/3445 x I/80 x D1, okr. Preöov; hr. okr. Preöov, Koöice - okolie; kriû. III/3445 x D1, okr. Preöov; kriû. III/3325 x D1, okr. Preöov; kriû. III/3325 x D1, hr. okr. Preöov, Koöice - okolie; kriû. III/3325 x D1, okr. Koöice - okolie; hr. okr. Preöov, Koöice - okolie; kriû. I/20 x III/3339 x D1, okr. Koöice - okolie; kriû. D1 x R4, okr. Koöice - okolie; kriû. II/576 x D1, okr. Koöice - okolie; kon. cesty D1, kriû. II/576 x D1, okr. Koöice - okolie";"Bratislava, okr. Bratislava V; Bratislava, hr. okr. Bratislava II, Bratislava V; Bratislava, okr. Bratislava II; Bratislava, hr. okr. Bratislava II, Bratislava III; hr. okr. Senec, Bratislava III; okr. Senec; hr. okr. Senec, Trnava; okr. Trnava; hr. okr. Hlohovec, Trnava; okr. Hlohovec; hr. okr. Hlohovec, Pieöùany; okr. Pieöùany; hr. okr. Pieöùany, NovÈ Mesto nad V·hom; okr. Pieöùany; hr. okr. Pieöùany, NovÈ Mesto nad V·hom; okr. NovÈ Mesto nad V·hom; hr. okr. NovÈ Mesto nad V·hom, TrenËÌn; okr. TrenËÌn; hr. okr. Ilava, TrenËÌn; okr. Ilava; hr. okr. Ilava, P˙chov; okr. P˙chov; hr. okr. Povaûsk· Bystrica, P˙chov; okr. Povaûsk· Bystrica; hr. okr. Povaûsk· Bystrica, BytËa; okr. BytËa; hr. okr. BytËa, éilina; okr. éilina; okr. Martin; okr. Ruûomberok; hr. okr. Liptovsk˝ Mikul·ö, Ruûomberok; okr. Liptovsk˝ Mikul·ö; hr. okr. Liptovsk˝ Mikul·ö, Poprad; okr. Poprad; hr. okr. Keûmarok, Poprad; hr. okr. LevoËa, Poprad; okr. Poprad; hr. okr. LevoËa, Poprad; okr. LevoËa; hr. okr. LevoËa, Spiösk· Nov· Ves; okr. LevoËa; hr. okr. LevoËa, Preöov; okr. Preöov; Preöov, okr. Preöov; okr. Preöov; hr. okr. Preöov, Koöice - okolie; okr. Preöov; hr. okr. Preöov, Koöice - okolie; okr. Koöice - okolie; hr. okr. Preöov, Koöice - okolie; okr. Koöice - okolie";379,742;
diaænica;D2;"zaË. cesty D2, na öt. hr. BrodskÈ - B¯eclav, okr. Skalica; hr. okr. Senica, Skalica; kriû. I/2 x D2, okr. Senica; hr. okr. Malacky, Senica; kriû. II/503 x D2, okr. Malacky; kriû. I/2 x D2, okr. Malacky; kriû. D2 x D4, okr. Malacky; kriû. D2 x D4, hr. okr. Malacky, Bratislava IV; kriû. D2 x D4, okr. Bratislava IV; kriû. II/505 x D2, Bratislava, okr. Bratislava IV; kriû. II/505 x D2, hr. spr. NDS - SSUD BA, NDS - SSUD MA, Bratislava, okr. Bratislava IV; kriû. I/2 x D2 x MK, Bratislava, okr. Bratislava IV; kriû. I/2 x D2 x MK, hr. vl. BA  , NDS, hr. spr. MAG-BA, NDS - SSUD BA, Bratislava, okr. Bratislava IV; kriû. I/2 x D2 x MK, Bratislava, okr. Bratislava IV; kriû. I/2 x D2 x MK, hr. vl. BA  , NDS, hr. spr. MAG-BA, NDS - SSUD BA, Bratislava, okr. Bratislava IV; kriû. I/2 x D2 x MK, Bratislava, okr. Bratislava IV; Bratislava, hr. okr. Bratislava IV, Bratislava V; kriû. I/2 x I/61 x D1 x D2 x MK, Bratislava, okr. Bratislava V; kriû. D2 x D4, okr. Bratislava V; kon. cesty D2, na öt. hr. »unovo - Rajka, okr. Bratislava V";"okr. Skalica; hr. okr. Senica, Skalica; okr. Senica; hr. okr. Malacky, Senica; okr. Malacky; hr. okr. Malacky, Bratislava IV; okr. Bratislava IV; Bratislava, okr. Bratislava IV; Bratislava, hr. okr. Bratislava IV, Bratislava V; Bratislava, okr. Bratislava V; okr. Bratislava V";80,554;
diaænica;D3;"zaË. cesty D3, okr. éilina; kriû. D3 x MK, okr. éilina; kriû. III/2090 x D3, okr. éilina; kriû. I/61 x D3, okr. éilina; kriû. I/11 x D3 x MK, okr. éilina; kriû. I/11 x D3, okr. »adca; kriû. I/12 x D3, okr. »adca; kon. cesty D3, okr. »adca";"okr. éilina; okr. »adca";28,052;
diaænica;D4;"zaË. cesty D4, na öt. hr. Bratislava, Jarovce - Kittsee (D), okr. Bratislava V; kriû. D2 x D4, okr. Bratislava V; kriû. III/1020 x D4, Bratislava, okr. Bratislava V; kriû. I/2 x D4, okr. Bratislava IV; hr. okr. Malacky, Bratislava IV; kriû. D2 x D4, okr. Malacky; kriû. D2 x D4, hr. okr. Malacky, Bratislava IV; kriû. D2 x D4, okr. Bratislava IV; kon. cesty D4, kriû. II/505 x D4 x MK, Bratislava, okr. Bratislava IV";"okr. Bratislava V; Bratislava, okr. Bratislava V; okr. Bratislava IV; hr. okr. Malacky, Bratislava IV; okr. Malacky; hr. okr. Malacky, Bratislava IV; okr. Bratislava IV; Bratislava, okr. Bratislava IV";6,92;
priv·dzaË diaæniËn˝;PD5;"zaË. cesty PD5, kriû. I/61 x I/61B x MK x PD5, TrenËÌn, okr. TrenËÌn; kon. cesty PD5, kriû. D1 x PD5, okr. TrenËÌn";"TrenËÌn, okr. TrenËÌn; okr. TrenËÌn";1,226;
r˝chlostn· cesta;R1;"zaË. cesty R1, kriû. I/51 x I/61 x MK x R1, hr. vl. NDS, STAT, TT, hr. spr. NDS - SSUR GA, SSC - IVSC BA, TT, Trnava, okr. Trnava; kriû. I/51 x I/61 x MK x R1, okr. Trnava; kriû. MK x R1, okr. Trnava; kriû. D1 x R1, okr. Trnava; kriû. III/1280 x III/1337 x R1, okr. Trnava; kriû. III/1280 x R1, okr. Trnava; hr. okr. Galanta, Trnava; kriû. III/1331 x R1, okr. Galanta; kriû. I/62 x R1, okr. Galanta; kriû. I/35 x II/507 x R1, okr. Galanta; kriû. II/573 x I/62 x R1, okr. Galanta; kriû. III/1313 x R1, okr. Galanta; hr. okr. Galanta, Nitra; kriû. III/1653 x R1, okr. Nitra; kriû. III/1674 x R1, okr. Nitra; hr. vl. NDS, STAT, hr. spr. GRO, NDS - SSUR GA, okr. Nitra; kriû. III/1674 x R1 x R1a, okr. Nitra; kriû. II/562 x MK x R1, okr. Nitra; kriû. R1 x MK, okr. Nitra; kriû. I/51 x R1, okr. Nitra; hr. okr. Nitra, ZlatÈ Moravce; kriû. III/1669 x R1, okr. ZlatÈ Moravce; kriû. I/65 x R1, okr. ZlatÈ Moravce; kriû. III/2521 x I/65 x R1, okr. ZlatÈ Moravce; hr. vl. NDS, STAT, hr. spr. GRO, NDS - SSUR NB, okr. ZlatÈ Moravce; hr. okr. ZlatÈ Moravce, éarnovica; kriû. I/65 x I/76 x R1, okr. éarnovica; kriû. III/2515 x R1, okr. éarnovica; kriû. II/428 x R1, okr. éarnovica; hr. okr. éarnovica, éiar nad Hronom; kriû. II/428 x I/65 x R1, okr. éiar nad Hronom; kriû. III/2519 x I/65 x R1, okr. éiar nad Hronom; hr. okr. éarnovica, éiar nad Hronom; kriû. I/65 x R1, okr. éiar nad Hronom; kriû. R1 x R2, okr. éiar nad Hronom; kriû. III/2484 x III/2492 x I/65 x R1, okr. éiar nad Hronom; kriû. III/2484 x III/2492 x I/65 x R1, hr. spr. NDS - SSUR NB, NDS - SSUR ZV, okr. éiar nad Hronom; hr. okr. Zvolen, éiar nad Hronom; kriû. III/2461 x I/51 x MK x R1, okr. Zvolen; kriû. III/2492 x R1, okr. Zvolen; kriû. III/2440 x R1, okr. Zvolen; kriû. III/2445 x R1 x R2, okr. Zvolen; kriû. III/2440 x R1, okr. Zvolen; kriû. I/66 x I/69 x R1, okr. Zvolen; kriû. III/2460 x I/69 x R1, okr. Zvolen; kriû. III/2448 x R1, okr. Zvolen; hr. okr. Bansk· Bystrica, Zvolen; kriû. MK x R1, okr. Bansk· Bystrica; kriû. I/69 x R1, okr. Bansk· Bystrica; kriû. I/69 x MK x R1, okr. Bansk· Bystrica; kriû. I/69 x MK x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. MK x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. III/2415 x I/66 x MK x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. II/578 x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. MK x R1, Bansk· Bystrica, okr. Bansk· Bystrica; hr. vl. NDS, STAT, hr. spr. GRO, NDS - SSUR ZV, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. I/59 x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. MK x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kriû. I/66 x R1, Bansk· Bystrica, okr. Bansk· Bystrica; kon. cesty R1, Bansk· Bystrica, okr. Bansk· Bystrica";"Trnava, okr. Trnava; okr. Trnava; hr. okr. Galanta, Trnava; okr. Galanta; hr. okr. Galanta, Nitra; okr. Nitra; hr. okr. Nitra, ZlatÈ Moravce; okr. ZlatÈ Moravce; hr. okr. ZlatÈ Moravce, éarnovica; okr. éarnovica; hr. okr. éarnovica, éiar nad Hronom; okr. éiar nad Hronom; hr. okr. éarnovica, éiar nad Hronom; okr. éiar nad Hronom; hr. okr. Zvolen, éiar nad Hronom; okr. Zvolen; hr. okr. Bansk· Bystrica, Zvolen; okr. Bansk· Bystrica; Bansk· Bystrica, okr. Bansk· Bystrica";169,397;
r˝chlostn· cesta;R1a;"zaË. cesty R1a, kriû. III/1674 x R1 x R1a, hr. vl. NDS, STAT, hr. spr. GRO, NDS - SSUR GA, okr. Nitra; kriû. III/1674 x R1 x R1a, okr. Nitra; kriû. III/1674 x II/513 x R1a, okr. Nitra; kriû. MK x R1a, okr. Nitra; kriû. MK x R1a x UK, okr. Nitra; kriû. I/64 x R1a, okr. Nitra; kriû. MK x R1a, okr. Nitra; kriû. MK x R1a, Nitra, okr. Nitra; kon. cesty R1a, kriû. III/1661 x I/51 x MK x R1a, hr. vl. NDS, STAT, Nitra, okr. Nitra";"okr. Nitra; Nitra, okr. Nitra";6,758;
r˝chlostn· cesta;R2;"zaË. cesty R2, kriû. I/9 x R2, okr. B·novce nad Bebravou; kriû. II/516 x I/9 x R2, okr. B·novce nad Bebravou; kriû. I/9 x R2, okr. B·novce nad Bebravou; kriû. I/9 x R2, hr. vl. NDS, STAT, hr. spr. NDS - SSUD TN, SSC - IVSC ZA, okr. B·novce nad Bebravou; okr. éiar nad Hronom; kriû. R1 x R2, okr. éiar nad Hronom; kriû. III/2445 x R1 x R2, okr. Zvolen; kriû. I/16 x I/66 x R2, okr. Zvolen; kriû. I/16 x I/66 x R2, okr. Zvolen; hr. okr. Detva, Zvolen; kriû. I/16 x R2, okr. Detva; kriû. I/16 x MK x R2, okr. Detva; kriû. II/526 x R2, okr. Detva; kriû. I/16 x R2, okr. Rimavsk· Sobota; kriû. I/16 x III/2805 x R2, okr. Rimavsk· Sobota; hr. okr. Rev˙ca, Rimavsk· Sobota; kriû. I/67 x R2, okr. Rev˙ca; kriû. I/16 x R2, okr. Rev˙ca; kon. cesty R2, kriû. I/16 x R2, okr. Rev˙ca";"okr. B·novce nad Bebravou; okr. éiar nad Hronom; okr. Zvolen; hr. okr. Detva, Zvolen; okr. Detva; okr. Rimavsk· Sobota; hr. okr. Rev˙ca, Rimavsk· Sobota; okr. Rev˙ca";54,813;
r˝chlostn· cesta;R3;"zaË. cesty R3, kriû. I/59 x R3, hr. vl. NDS, STAT, hr. spr. NDS - SSUD LM, SSC - IVSC ZA, okr. TvrdoöÌn; kriû. I/59 x R3, okr. TvrdoöÌn; kriû. II/520 x R3, okr. TvrdoöÌn; kriû. MK x R3, okr. TvrdoöÌn; kriû. I/59 x R3, okr. TvrdoöÌn; kriû. I/59 x R3, okr. Doln˝ KubÌn; kriû. I/18 x R3, okr. Martin; kon. cesty R3, kriû. I/65 x R3, okr. TurËianske Teplice";"okr. TvrdoöÌn; okr. Doln˝ KubÌn; okr. Martin; okr. TurËianske Teplice";19,066;
r˝chlostn· cesta;R4;"zaË. cesty R4, na öt. hr. Milhosù - TornyosnÈmeti, hr. vl. NDS, hr. spr. NDS - SSUR KE, okr. Koöice - okolie; kriû. R4 x MK, okr. Koöice - okolie; kriû. I/17 x R4, okr. Koöice - okolie; kriû. D1 x R4, okr. Koöice - okolie; kriû. I/21 x R4, okr. SvidnÌk; kon. cesty R4, kriû. I/21 x R4, hr. vl. NDS, STAT, hr. spr. NDS - SSUD PO, SSC - IVSC KE, okr. SvidnÌk";"okr. Koöice - okolie; okr. SvidnÌk";19,446;
